stamp_sec,stamp_nsec,x,y,z
1784362435,962525441,-0.714491,0.434073,0.100000
1784362527,173836146,-0.685468,0.485202,0.100000
1784362528,272040219,-0.689036,0.515373,0.100000
1784362529,172707626,-0.663967,0.538328,0.100000
1784362529,977393552,-0.658106,0.571180,0.100000
1784362530,969734644,-0.636497,0.593186,0.100000
1784362532,265291773,-0.642973,0.624500,0.100000
1784362532,769333939,-0.633568,0.656222,0.100000
1784362535,367128993,-0.625368,0.689344,0.100000
1784362535,866711770,-0.641001,0.717316,0.100000
1784362536,860604436,-0.658981,0.742188,0.100000
1784362538,867778695,-0.672582,0.771948,0.100000
1784362539,563225342,-0.690411,0.797865,0.100000
1784362540,462672286,-0.684098,0.828476,0.100000
1784362541,963215045,-0.699988,0.854107,0.100000
1784362542,557617322,-0.704943,0.886968,0.100000
1784362543,960150932,-0.698608,0.922723,0.100000
1784362544,259276376,-0.695124,0.953255,0.100000
1784362544,758009524,-0.706104,0.981219,0.100000
1784362546,856668931,-0.720392,1.008612,0.100000
1784362547,456617152,-0.718915,1.041847,0.100000
1784362548,52667782,-0.702967,1.072272,0.100000
1784362549,650170707,-0.690675,1.100362,0.100000
1784362550,652395113,-0.664498,1.116954,0.100000
1784362552,55402446,-0.632389,1.118579,0.100000
1784362553,842461815,-0.601985,1.122451,0.100000
1784362555,946988684,-0.633272,1.122964,0.100000
1784362559,42207571,-0.657447,1.141305,0.100000
1784362560,938491978,-0.626785,1.135830,0.100000
1784362562,140237533,-0.617328,1.168460,0.100000
1784362562,437058106,-0.631712,1.196366,0.100000
1784362563,333396624,-0.627634,1.226103,0.100000
1784362565,135065883,-0.631633,1.191840,0.100000
1784362566,131477438,-0.638068,1.225643,0.100000
1784362567,933476788,-0.617056,1.250485,0.100000
1784362569,34410140,-0.607062,1.281114,0.100000
1784362573,427395785,-0.576790,1.284827,0.100000
1784362577,525574931,-0.545527,1.280625,0.100000
1784362581,533714169,-0.515766,1.293226,0.100000
1784362582,919644835,-0.485318,1.301329,0.100000
1784362583,914522075,-0.473243,1.341380,0.100000
1784362584,113663853,-0.475217,1.384520,0.100000
1784362584,312280260,-0.480152,1.417257,0.100000
1784362584,613380723,-0.510172,1.418431,0.100000
1784362585,813378833,-0.532944,1.398224,0.100000
1784362595,4170846,-0.515212,1.373397,0.100000
1784362599,207652381,-0.499264,1.345356,0.100000
1784362600,203800065,-0.487723,1.384430,0.100000
1784362600,403878399,-0.460158,1.404526,0.100000
1784362600,603630195,-0.425400,1.414794,0.100000
1784362600,804174028,-0.394563,1.426127,0.100000
1784362601,109829694,-0.375527,1.450718,0.100000
1784362601,303708139,-0.363585,1.487697,0.100000
1784362601,504916676,-0.359129,1.518473,0.100000
1784362601,707749472,-0.350906,1.564282,0.100000
1784362602,5524138,-0.342199,1.599505,0.100000
1784362602,306764620,-0.310863,1.619769,0.100000
1784362602,502941231,-0.269839,1.631799,0.100000
1784362602,707233842,-0.234007,1.647868,0.100000
1784362603,114254490,-0.186852,1.669257,0.100000
1784362603,306316193,-0.148678,1.686560,0.100000
1784362603,504188193,-0.121409,1.700611,0.100000
